Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
0,0,0,0,0,0,0,0,0,0,0,1339.69
0,1,0,0,1,1,0,1,1,0,1,898.94
1,2,1,1,2,2,0,2,2,1,2,575.0
0,0,0,2,3,3,1,3,3,0,3,2537.45
0,0,0,0,0,4,0,2,4,0,0,1803.6
2,3,1,1,4,5,2,4,5,2,4,400.0
0,0,0,2,3,6,1,5,6,3,5,2139.97
0,1,0,0,1,1,0,5,1,0,1,1158.7
3,4,0,3,2,7,1,3,7,2,6,1495.0
2,5,0,3,5,8,0,2,8,2,7,770.0
1,2,1,1,4,2,2,4,2,1,2,393.9
1,2,1,1,2,9,2,4,9,1,2,344.99
0,0,0,2,3,10,1,2,10,0,3,2439.97
4,6,1,1,2,9,2,2,11,2,8,498.9
0,7,0,4,6,11,0,2,12,0,9,1262.4
0,0,0,0,0,0,0,2,0,0,0,1518.55
4,6,1,1,2,12,0,2,11,2,8,745.0
0,0,0,2,3,13,1,3,13,0,3,2858.0
5,8,1,1,2,14,0,6,14,1,8,499.0
4,9,0,0,7,8,0,0,8,2,10,979.0
3,10,2,5,4,15,3,7,15,2,11,191.9
5,11,3,1,5,16,0,8,16,2,12,999.0
1,12,1,1,4,17,2,4,17,1,2,258.0
4,13,4,0,8,8,0,2,8,2,13,819.0
1,14,0,1,2,7,0,2,2,2,14,659.0
4,6,1,1,4,9,2,6,9,2,15,418.64
0,15,0,0,1,18,0,1,1,3,16,1099.0
4,16,1,1,2,8,0,2,18,2,8,800.0
4,17,0,1,2,19,0,9,8,2,17,1298.0
1,18,1,6,2,8,0,6,19,2,12,896.0
6,19,1,1,2,20,2,10,20,2,18,244.99
3,20,1,3,4,21,3,7,17,2,19,199.0
1,21,1,6,2,22,2,4,18,2,20,439.0
4,9,0,0,9,7,1,3,8,2,21,1869.0
0,15,0,0,1,18,0,5,1,3,16,998.0
5,22,1,3,4,23,2,10,21,2,22,249.0
2,3,1,1,4,24,2,6,2,4,4,367.0
4,23,1,6,5,8,0,8,18,2,23,979.0
1,2,1,1,4,2,2,6,2,2,2,488.69
1,24,1,1,2,8,0,2,22,2,4,879.0
3,25,1,1,2,9,2,6,2,4,24,389.0
4,26,3,1,5,25,1,11,23,2,25,1499.0
3,27,1,1,4,2,0,6,14,4,15,522.99
2,28,1,1,5,8,2,2,8,2,8,682.0
4,29,4,6,8,8,4,6,24,2,26,999.0
0,0,0,0,0,26,0,2,25,0,0,1419.0
5,30,1,1,4,9,2,0,9,1,8,369.0
3,31,3,6,2,27,0,11,26,2,27,1299.0
4,6,1,1,2,2,2,2,11,2,15,639.0
3,32,1,6,4,28,2,6,27,2,23,466.0
5,33,4,7,10,29,2,10,15,5,28,319.0
2,28,1,1,5,7,0,2,7,2,8,841.0
1,12,1,1,2,22,2,2,28,2,2,398.49
1,34,1,0,2,7,0,3,8,2,29,1103.0
2,3,1,1,4,14,2,6,2,2,30,384.0
4,35,1,1,2,7,0,2,29,2,31,767.8
1,36,1,1,2,9,2,0,9,2,14,439.0
3,37,1,1,4,2,2,2,2,2,24,586.19
7,38,3,6,2,25,1,12,30,2,32,2449.0
3,39,1,1,2,9,2,2,9,4,24,415.0
4,23,1,6,2,7,1,12,18,2,23,1299.0
4,40,0,3,2,8,0,2,8,2,33,879.0
5,41,1,3,5,24,0,2,2,1,33,599.0
3,42,1,3,2,8,0,2,8,2,34,941.0
1,2,1,1,2,2,0,2,2,2,2,690.0
3,43,0,1,2,25,1,3,31,2,35,1983.0
1,2,1,1,4,9,2,4,29,2,2,438.69
1,44,1,3,4,30,2,13,15,2,22,229.0
5,45,1,1,2,2,2,6,2,2,36,549.0
3,46,3,6,2,25,4,6,31,4,37,949.0
8,47,0,8,11,2,2,0,2,6,38,1089.0
4,48,0,0,5,7,0,2,18,2,34,955.0
4,16,1,1,2,7,0,2,18,2,8,870.0
7,49,3,6,2,16,0,8,16,2,39,1095.0
2,50,1,3,4,9,0,6,9,2,4,389.0
3,51,3,1,2,25,0,6,16,2,8,949.0
5,52,1,1,2,2,0,14,2,1,8,519.0
4,16,1,1,2,7,0,8,8,2,40,855.0
2,53,1,1,2,24,2,6,32,2,8,530.0
1,18,1,6,2,8,0,8,19,2,12,977.0
4,17,0,1,5,8,0,2,8,2,17,1096.16
0,7,0,4,6,31,0,3,12,0,9,1510.0
1,54,1,3,2,8,0,2,2,2,41,860.0
5,55,1,1,2,22,2,0,33,2,8,399.0
2,3,1,1,4,5,2,6,5,2,4,395.0
4,26,3,1,5,25,1,8,31,2,25,1349.0
1,56,0,1,5,7,0,2,34,2,3,699.0
1,2,1,1,2,2,0,2,2,2,42,598.99
3,57,3,1,5,25,1,8,23,2,8,1449.0
4,9,0,0,5,7,0,2,8,2,43,1649.0
3,58,3,1,2,32,0,6,35,2,44,699.0
2,59,1,1,2,7,0,6,7,2,8,689.0
1,60,1,0,2,7,1,3,8,2,29,1197.0
4,26,3,1,2,16,0,2,23,2,25,1195.0
3,61,0,3,2,12,0,2,2,2,45,1049.0
2,62,4,0,7,8,0,2,8,2,46,847.0
4,6,1,1,2,12,0,6,11,4,8,599.9
4,6,1,1,2,9,2,2,11,4,8,485.0
3,63,1,1,2,14,5,2,36,2,24,577.0
1,64,3,1,5,25,4,8,16,2,47,1249.0
1,65,1,1,2,12,0,2,18,2,14,719.0
1,66,1,1,2,17,2,4,17,2,4,349.0
4,35,1,1,2,8,0,6,29,4,8,647.0
1,67,0,0,5,12,0,2,7,2,48,1119.0
8,47,0,8,11,2,0,2,2,6,38,1340.0
1,68,1,3,5,2,5,2,14,2,49,659.0
5,69,1,1,2,9,2,6,9,2,50,414.9
3,70,0,3,5,12,0,2,14,2,6,1193.0
7,71,3,1,2,25,1,11,31,2,8,1299.0
5,72,1,3,5,12,0,2,2,2,49,1480.0
3,73,0,1,2,7,1,11,7,2,46,1262.0
4,9,0,0,12,33,0,2,0,2,51,1379.0
5,74,4,0,7,2,0,2,2,2,0,1399.0
1,75,1,3,13,8,2,4,8,2,41,722.0
4,9,0,0,5,8,0,2,8,2,43,1629.0
1,76,4,0,7,8,0,2,8,2,52,1398.99
1,75,1,3,2,7,0,3,8,2,41,1084.0
4,77,1,1,5,7,0,11,14,2,53,1130.33
3,78,1,6,2,9,2,6,27,2,24,564.0
3,73,1,1,2,7,0,2,14,2,33,1118.0
2,79,1,1,7,14,5,6,2,2,4,479.0
7,80,3,1,2,25,1,12,30,2,35,2241.5
5,52,1,1,2,2,0,2,14,1,8,629.0
1,81,1,6,2,7,1,3,22,2,12,1271.0
2,3,1,1,4,5,2,2,5,2,4,451.0
1,2,1,1,4,30,2,4,15,1,2,259.0
1,75,1,3,2,8,0,6,8,2,41,812.0
3,82,1,3,4,34,2,15,17,6,19,277.99
4,23,1,6,2,7,1,12,18,2,23,1396.0
1,18,1,6,2,8,0,2,8,2,12,928.0
4,83,1,1,4,2,0,6,37,2,54,638.99
4,6,1,1,2,9,2,6,11,2,8,449.0
2,5,0,3,5,7,0,2,8,2,7,884.0
2,84,1,1,2,24,2,2,32,2,8,572.0
1,85,1,1,4,12,0,6,2,2,55,598.0
1,75,1,3,2,7,0,2,8,2,41,988.0
5,86,1,1,4,23,2,6,21,1,36,252.36
3,87,3,6,2,16,0,8,16,2,37,938.0
5,52,1,1,2,2,2,6,27,1,8,499.0
1,88,1,0,5,2,2,2,2,2,56,699.0
2,59,1,6,5,24,2,6,32,2,37,655.0
5,89,1,3,5,8,0,2,38,2,57,1116.02
5,11,3,1,5,25,0,2,39,1,30,869.0
9,90,1,1,4,35,2,4,9,2,4,602.0
1,12,1,1,4,22,2,2,28,2,2,369.0
3,91,0,3,2,7,0,2,8,2,45,1099.0
1,92,0,9,14,36,0,3,40,2,58,2014.0
3,93,1,1,2,23,2,6,21,2,24,344.0
7,94,3,6,2,25,1,11,30,2,59,2029.0
2,95,1,1,4,9,2,6,9,2,4,447.0
4,96,3,1,2,25,1,3,16,2,60,1249.26
4,97,3,1,2,25,0,16,16,2,47,899.0
5,98,1,1,4,2,2,0,2,2,36,498.0
7,99,3,6,2,25,1,11,23,2,23,1890.0
1,100,0,3,2,37,2,2,2,2,61,1082.0
1,101,1,1,2,8,5,2,29,2,14,619.0
5,102,4,3,7,14,2,2,2,2,62,629.0
3,103,4,0,8,8,0,2,2,2,63,1315.0
4,104,4,1,8,7,0,2,8,2,64,1049.0
9,90,1,1,4,38,2,4,9,2,4,447.0
3,105,1,1,4,5,2,6,41,2,65,403.0
2,106,1,6,5,8,2,2,7,2,37,805.0
4,35,1,1,2,8,0,2,29,2,31,728.0
5,11,3,1,5,25,1,2,31,2,12,1079.0
2,107,1,1,4,23,2,6,21,2,4,348.0
7,108,3,1,5,25,1,11,23,2,30,1799.0
2,3,1,1,4,28,2,6,42,2,4,363.51
4,96,3,1,2,25,0,8,16,2,60,1060.49
2,106,1,6,5,8,0,2,7,2,37,854.0
1,34,1,0,5,8,2,4,8,2,29,754.0
10,109,0,10,15,2,0,2,2,2,66,1349.0
1,110,1,6,5,2,5,14,29,2,20,699.0
5,55,1,1,4,39,2,4,28,1,8,309.0
9,90,1,1,4,14,2,4,2,2,24,489.0
1,18,1,6,2,8,0,2,19,2,12,923.0
4,6,1,1,4,14,0,6,2,2,15,459.0
2,95,1,1,4,9,2,0,9,2,4,449.0
7,111,3,11,2,40,6,17,43,2,67,2799.0
5,112,1,1,2,2,0,8,44,2,68,813.0
1,76,4,0,14,8,0,2,8,2,69,1499.0
4,16,1,1,2,7,1,12,18,4,40,1049.0
4,9,0,0,2,8,0,2,8,2,51,1399.0
5,113,4,12,14,7,1,3,8,2,34,1849.0
9,90,1,1,4,2,0,0,2,2,70,793.0
11,114,1,1,5,8,0,2,7,1,71,1199.0
4,29,1,6,8,7,1,3,24,2,26,1549.0
4,115,1,1,16,25,1,3,16,2,72,2397.0
5,11,3,1,5,16,0,2,16,1,30,779.0
2,116,0,0,5,41,0,2,12,2,73,989.0
4,23,1,6,2,7,0,8,18,2,23,1085.0
5,117,4,3,17,12,1,18,2,2,74,2824.0
12,118,1,3,5,23,2,7,21,2,6,260.0
11,114,0,0,5,2,0,2,7,1,6,999.9
5,119,1,6,18,8,0,2,7,1,23,698.0
4,13,4,0,7,7,0,6,8,2,13,839.0
1,18,1,6,5,8,0,6,19,2,12,914.0
13,120,3,6,16,42,6,18,45,2,75,6099.0
1,34,1,0,2,8,0,3,8,2,29,959.0
1,121,3,6,5,25,1,11,16,2,76,1379.0
1,81,1,6,2,7,0,2,22,2,12,1045.0
4,26,3,1,19,25,1,17,23,2,25,1845.0
5,122,1,1,4,35,2,0,9,2,4,493.0
2,123,1,1,2,12,0,6,14,2,77,742.0
5,124,3,1,5,25,1,17,23,2,27,1749.0
4,125,5,1,20,43,1,11,46,2,23,3055.0
5,11,3,1,2,25,1,3,23,1,30,1398.0
4,6,1,1,21,14,5,6,2,2,15,439.0
4,9,0,0,14,7,0,2,8,2,43,1949.0
4,9,0,0,2,7,0,2,8,2,21,1449.0
5,52,1,1,4,2,0,2,2,2,8,597.0
2,126,1,1,2,25,0,6,16,4,30,779.0
3,127,3,6,2,25,1,11,16,2,59,1407.0
1,128,1,1,2,9,2,4,9,1,4,349.0
5,52,1,1,2,2,0,2,2,1,8,549.0
10,109,0,10,15,12,0,3,2,2,66,1499.0
4,48,0,0,5,7,0,2,18,2,34,931.88
5,129,1,6,18,2,0,6,34,1,23,589.0
1,75,1,3,2,7,0,2,19,2,41,1031.0
4,130,0,3,2,8,0,2,8,2,7,1149.0
4,13,4,0,8,7,1,3,8,2,13,1279.0
4,35,1,1,2,8,0,2,29,4,8,677.35
5,102,4,3,5,8,0,2,8,2,62,899.0
9,131,0,0,2,44,0,2,9,2,21,1363.0
1,24,1,1,2,8,0,6,8,2,4,794.0
4,132,3,6,5,25,1,11,23,2,78,2456.34
2,123,1,1,2,12,0,2,14,2,8,832.0
4,83,1,1,8,12,1,6,37,2,15,859.01
3,133,1,1,2,2,0,2,47,2,24,769.0
3,134,1,6,2,2,0,19,48,2,79,891.0
1,135,1,1,2,12,0,6,49,2,36,1269.0
3,136,1,1,4,14,2,6,2,2,80,398.99
1,137,1,1,4,45,2,4,17,2,4,330.0
5,124,3,1,5,25,1,11,23,2,27,1499.0
4,138,1,3,2,2,0,2,2,2,7,859.0
2,139,4,0,7,35,0,2,9,2,7,689.0
4,83,1,1,2,12,1,2,37,4,54,899.0
2,95,1,1,4,9,2,6,9,4,4,390.0
3,140,1,1,2,46,2,8,11,2,8,575.0
3,141,3,6,2,42,6,17,45,2,81,3890.0
2,142,3,1,5,16,0,2,16,2,12,846.0
5,30,1,1,4,9,0,0,9,2,8,589.0
3,143,1,6,2,7,0,8,24,2,4,1145.0
3,144,1,6,2,12,0,8,48,1,79,889.0
4,96,3,1,2,16,0,2,16,2,60,879.0
5,145,4,12,7,12,0,2,2,2,48,1079.0
4,16,1,1,2,7,0,20,18,2,8,985.0
1,146,1,1,21,2,0,6,2,2,5,559.0
3,147,3,6,2,42,1,2,45,2,82,2999.0
1,34,1,0,5,8,2,4,8,2,29,675.0
0,0,0,0,0,4,0,3,4,0,0,2040.0
4,104,4,1,7,7,0,6,8,2,83,819.0
3,148,3,6,2,25,1,11,50,2,84,1799.0
3,149,1,1,4,5,2,6,41,2,85,469.0
5,113,4,12,7,7,0,3,8,2,0,1849.0
2,59,1,6,5,24,2,2,32,2,37,702.0
4,150,0,0,2,8,0,2,8,2,86,949.0
1,151,1,1,4,47,0,0,28,2,14,445.9
1,152,1,6,5,7,1,6,7,2,59,1059.0
7,153,3,6,2,25,1,17,30,2,87,2499.0
5,154,4,1,7,25,0,3,39,2,24,1699.0
4,23,1,6,2,7,0,8,18,2,23,1142.0
5,30,1,1,2,9,2,2,9,1,8,444.0
1,24,1,1,5,8,2,4,2,2,4,722.0
4,155,1,1,2,2,2,6,2,2,88,657.0
4,6,1,1,2,2,0,6,11,2,89,565.0
4,104,4,1,8,8,0,2,8,2,90,799.0
3,103,4,0,8,7,0,21,8,2,63,1499.0
5,52,1,1,2,2,2,6,2,1,8,467.0
1,81,1,6,2,7,0,6,22,2,12,1018.0
5,156,1,1,2,7,0,2,8,2,55,880.0
0,0,0,0,0,48,0,3,51,0,0,1958.9
3,31,3,6,2,27,1,11,26,2,27,1549.0
4,35,1,1,2,7,0,2,29,4,91,735.07
5,157,4,3,17,49,1,3,9,2,92,2499.0
9,90,1,1,4,44,0,4,52,2,8,812.0
4,83,1,1,4,12,4,6,2,2,15,713.07
4,23,1,6,2,7,0,8,18,4,23,1099.0
2,28,1,1,5,7,0,6,32,2,8,745.0
5,158,1,6,18,9,2,6,9,2,23,489.0
5,119,1,6,2,7,0,14,7,1,23,849.0
5,129,1,6,18,12,5,8,14,2,23,859.0
4,6,1,1,2,50,2,6,11,4,93,428.0
5,11,3,1,5,16,0,2,16,2,12,829.0
5,159,1,1,2,2,5,2,2,2,8,579.0
2,106,1,1,5,7,0,2,7,2,37,951.0
2,160,1,1,7,12,4,6,2,2,94,659.0
5,161,1,1,5,12,0,2,53,2,71,1097.0
3,73,0,1,2,2,0,2,14,2,33,977.0
5,11,3,1,5,25,1,11,31,2,12,1179.0
5,8,1,1,2,12,0,6,14,1,8,659.01
2,162,1,1,4,51,3,22,20,7,95,199.0
3,163,3,6,2,25,0,6,16,2,37,1187.0
1,164,1,6,18,9,0,6,9,2,96,489.0
4,115,1,1,2,25,0,2,16,2,24,1829.0
5,165,1,1,2,8,0,2,8,2,55,739.0
5,124,3,1,5,25,0,6,23,2,27,1299.0
2,166,1,1,2,25,0,2,31,4,12,979.0
4,167,5,6,2,52,1,2,46,2,97,2884.86
5,168,1,1,2,53,5,6,54,2,30,499.0
3,169,0,1,2,12,1,3,14,2,41,1468.0
3,170,1,3,4,14,2,0,2,2,6,509.0
3,171,3,6,2,25,1,11,30,2,59,2122.0
5,129,1,6,18,2,5,6,55,2,23,649.0
5,52,1,1,4,2,0,14,14,1,8,549.0
3,172,3,1,2,25,0,8,31,2,12,1265.0
5,173,1,1,4,28,2,6,42,1,8,359.99
1,174,4,0,8,54,1,2,2,2,98,1975.0
9,90,1,1,5,44,0,2,52,2,8,1043.0
5,8,1,1,2,2,0,8,14,2,15,819.0
1,2,1,1,2,9,2,6,9,2,2,469.0
5,175,1,0,5,2,0,2,2,2,63,999.0
4,9,0,0,14,7,1,18,8,2,43,2499.0
7,176,3,1,5,25,1,11,30,2,23,2099.0
2,177,1,1,2,55,0,2,5,2,77,469.0
3,178,4,5,21,23,3,7,21,2,63,275.0
4,16,1,1,2,8,0,8,18,2,99,844.0
1,76,4,0,14,7,1,18,8,2,69,2449.0
5,179,1,0,4,56,2,23,56,7,100,459.9
1,180,1,3,2,2,0,2,2,2,71,980.0
2,181,1,5,4,57,2,1,57,2,34,485.0
1,182,1,3,2,12,0,2,2,2,61,1292.0
5,129,1,6,18,2,2,6,27,2,101,589.0
3,183,1,3,2,12,0,2,2,2,24,1094.0
1,24,1,1,22,7,0,6,8,2,4,902.0
2,59,1,1,4,58,0,2,58,2,8,659.0
5,22,1,3,4,23,2,7,21,2,22,292.0
2,184,1,1,4,2,5,6,2,2,77,549.0
3,73,0,1,2,12,0,2,14,2,33,1049.9
1,185,0,9,2,12,0,2,2,2,52,1335.0
4,115,1,1,16,25,6,18,16,2,72,2639.0
7,186,3,6,2,25,0,11,31,2,39,1199.0
9,90,1,1,5,2,0,2,2,2,70,943.0
3,187,1,3,2,12,0,11,2,2,24,1334.0
5,188,1,1,2,9,2,6,9,2,50,449.0
3,189,3,1,2,25,0,2,16,2,12,999.0
1,100,1,3,2,59,0,2,2,2,61,1268.0
4,77,0,1,5,8,0,8,14,2,36,1049.0
1,190,1,1,2,2,0,2,2,2,102,1144.0
3,191,1,1,4,23,2,6,21,4,24,274.99
4,77,1,1,2,8,0,2,14,2,24,1142.75
4,192,1,1,4,30,2,4,20,4,8,274.9
5,193,1,1,2,60,4,14,18,2,8,899.0
1,24,1,1,5,14,0,6,22,2,4,716.0
5,113,4,12,14,7,1,3,8,2,34,2099.0
4,9,0,0,2,7,0,2,8,2,21,1579.0
5,11,3,1,5,25,1,12,31,2,30,1129.0
1,194,1,3,4,30,3,7,15,2,22,279.0
4,17,0,1,2,19,1,24,8,2,17,1607.96
3,178,4,5,21,23,2,7,21,2,46,375.0
4,16,0,1,2,8,0,6,18,2,36,663.0
4,115,1,1,16,25,1,3,16,2,72,2027.42
1,190,1,1,2,12,0,2,2,2,102,1304.0
7,195,3,6,2,25,0,8,23,2,39,1409.0
1,196,5,1,2,25,0,2,46,2,103,1738.27
9,197,1,1,5,44,1,3,52,2,30,1403.0
4,16,1,1,2,7,0,20,18,2,40,970.9
5,173,1,1,4,23,2,6,21,1,8,321.99
4,26,3,1,2,16,0,6,16,2,25,999.0
4,6,1,1,21,2,0,14,2,2,54,557.37
4,198,1,3,2,59,0,2,2,2,92,1427.0
1,2,1,1,4,9,2,4,9,2,2,439.0
3,199,1,3,2,2,0,2,2,2,24,945.0
5,129,1,6,18,2,5,8,34,2,23,719.0
1,2,1,1,2,2,0,6,2,2,2,639.0
5,30,1,1,4,9,0,2,47,1,8,499.0
1,200,1,1,4,57,0,14,57,2,5,389.0
4,23,1,6,2,8,0,8,18,2,23,1085.0
5,11,3,1,5,16,0,8,16,1,30,809.0
4,83,1,1,2,12,0,2,37,2,99,899.0
1,201,0,3,5,12,0,2,2,2,92,1750.0
3,103,4,1,8,12,4,25,59,2,104,1099.0
2,3,1,1,4,5,2,0,5,2,4,426.0
3,31,3,6,5,27,1,11,26,2,105,2199.0
5,202,1,6,18,55,2,0,5,2,103,489.0
4,13,4,0,8,7,0,2,8,2,13,869.01
1,203,1,1,2,5,2,2,5,2,14,488.99
5,204,2,5,13,61,2,0,21,2,106,553.0
4,192,1,1,4,62,2,4,15,2,35,309.0
3,205,1,3,4,23,2,7,21,2,46,286.0
2,126,1,1,2,25,0,6,16,4,30,846.0
1,206,3,6,5,25,0,8,16,2,76,1191.0
5,207,1,1,2,9,2,0,9,1,50,403.5
3,208,3,1,5,25,0,8,23,2,15,1655.0
5,209,1,3,5,2,0,2,14,2,46,1099.0
3,210,0,0,8,12,1,3,2,2,63,1748.9
5,211,0,3,23,12,0,3,2,2,107,2282.0
5,212,1,0,5,14,2,0,2,2,46,549.0
4,213,5,1,2,63,0,4,60,2,77,1369.0
4,214,5,1,5,64,0,2,46,2,24,2135.0
5,157,4,3,17,12,1,3,2,2,74,2509.0
3,215,3,6,2,25,0,6,16,2,37,1039.0
3,216,3,6,2,25,1,11,31,2,37,1591.0
2,59,1,1,13,8,4,6,32,2,8,693.99
7,217,3,6,2,25,0,2,31,2,39,1349.0
4,83,1,1,2,12,0,2,37,4,99,778.87
1,218,0,1,2,5,2,2,29,2,14,499.0
5,219,1,1,5,7,0,2,38,2,4,1229.56
5,220,1,3,5,2,0,2,2,2,36,938.0
4,221,5,1,16,25,0,2,46,2,108,2712.0
5,211,0,3,23,12,1,18,2,2,107,2625.0
5,173,1,1,4,23,2,6,21,2,8,306.0
3,222,3,6,2,25,1,11,16,2,59,1529.0
5,219,1,1,5,8,0,11,38,2,4,1144.5
2,126,1,1,2,25,0,2,16,4,12,879.0
7,223,3,6,2,25,1,11,30,2,23,2249.0
3,224,0,3,2,12,0,3,2,2,109,1873.0
9,225,0,0,2,44,1,3,9,2,21,1747.0
4,198,0,3,2,54,0,3,20,2,92,1680.0
5,30,1,1,2,9,2,4,9,2,8,409.0
5,226,1,5,4,23,3,7,21,2,110,304.45
5,227,5,1,2,25,0,3,46,2,90,1925.0
5,228,0,3,24,25,0,3,59,2,33,1943.0
1,229,1,1,2,9,2,6,29,2,4,469.0
2,139,4,0,7,44,0,2,9,2,7,789.01
3,103,4,0,7,2,0,2,2,2,111,928.0
4,6,1,1,2,2,2,2,11,4,15,598.9
4,230,1,0,4,9,2,0,9,2,19,689.0
1,231,0,3,2,44,0,2,9,2,112,1500.0
4,6,1,1,4,2,0,6,2,2,91,539.95
5,89,0,3,5,7,0,2,38,2,57,1215.38
5,154,4,1,14,25,1,3,16,2,24,1899.0
6,232,1,13,25,61,5,10,21,2,34,449.0
1,233,1,1,2,52,0,2,53,2,113,1427.0
3,234,1,1,2,14,0,6,14,4,15,597.0
4,132,3,6,23,42,1,11,30,2,78,2799.0
4,26,3,1,5,25,0,8,31,2,47,1159.0
4,16,1,1,2,7,0,12,18,2,40,1142.4
4,235,0,3,2,54,0,2,2,4,7,1099.0
1,236,3,6,2,25,4,11,30,2,76,1999.0
14,237,4,5,7,23,2,13,21,2,114,299.0
15,238,2,5,4,30,2,23,15,7,110,269.0
5,239,1,0,5,12,0,2,2,2,34,1010.0
5,240,1,3,5,24,2,0,2,2,33,599.0
5,161,5,1,19,54,1,3,14,2,15,2445.0
5,241,1,1,2,52,1,3,61,2,12,2449.0
3,31,3,6,2,65,0,11,26,2,27,1695.0
1,242,1,1,4,30,2,4,15,2,4,347.0
16,243,0,13,26,66,1,3,12,7,63,2199.0
5,244,0,3,27,12,7,3,2,2,56,2382.0
3,37,1,1,2,2,2,2,2,4,24,559.0
5,55,1,6,18,22,0,6,62,2,23,519.0
4,16,1,1,2,8,2,2,18,2,8,749.0
